"ThreadID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"TH01442","NDEs","https://groups.google.com./g/net.med/c/00f9TwogWOI","10/26/86",1,"netmed"
"TH01441","AMA and Smoking Policy (full text)","https://groups.google.com./g/net.med/c/BS2ljt8bnq4","10/26/86",1,"netmed"
"TH01440","AMA and Smoking Policy (abbreviated version)","https://groups.google.com./g/net.med/c/lGyAUVmOMPA","10/26/86",1,"netmed"
"TH01439","The subject appears to be ME.","https://groups.google.com./g/net.med/c/xfzjPYILXJg","10/24/86",2,"netmed"
"TH01438","Abbreviated Bio","https://groups.google.com./g/net.med/c/n0_kba13lpQ","10/24/86",1,"netmed"
"TH01437","Caffeine and analgesia","https://groups.google.com./g/net.med/c/-APExpxdUkA","10/22/86",1,"netmed"
"TH01436","Medical Puzzle #21","https://groups.google.com./g/net.med/c/HYY-IDbZwoY","10/22/86",1,"netmed"
"TH01435","Laryngectomee Rehabilitation: Info request","https://groups.google.com./g/net.med/c/usfzrpYf9ZU","10/18/86",1,"netmed"
"TH01434","Aspirin vs. Codine (Codeine!)","https://groups.google.com./g/net.med/c/q_9mrs0cCEs","10/18/86",1,"netmed"
"TH01433","Drug Abuse - True Problem or Media Hype?","https://groups.google.com./g/net.med/c/4ZCPX-3Nbk4","10/12/86",56,"netmed"
"TH01432","Loss of I.Q.","https://groups.google.com./g/net.med/c/MiGian0k-Zo","10/10/86",7,"netmed"
"TH01431","Selecting the sex...","https://groups.google.com./g/net.med/c/7rtLGke2UaY","10/9/86",2,"netmed"
"TH01430","The Open Road","https://groups.google.com./g/net.med/c/4dtpvzaYplw","10/8/86",2,"netmed"
"TH01429","matrix of sexually xmited diseases","https://groups.google.com./g/net.med/c/8ncxb9mj34Q","10/7/86",1,"netmed"
"TH01428","Drug-Induced Erection","https://groups.google.com./g/net.med/c/qHEMo7Pf9Yo","10/6/86",4,"netmed"
"TH01427","A new call for ignorance","https://groups.google.com./g/net.med/c/igO9rBw0QEQ","10/3/86",2,"netmed"
"TH01426","Why Take Drugs?","https://groups.google.com./g/net.med/c/nkSV2oe-Vs0","10/3/86",2,"netmed"
"TH01425","hardware/software/peripherals for quadriplegics","https://groups.google.com./g/net.med/c/G1cdLVEK5iU","9/29/86",2,"netmed"
"TH01424","Brief History of Drug Use and Control","https://groups.google.com./g/net.med/c/G6YUgOeSyTc","9/29/86",2,"netmed"
"TH01423","""I did not go in for a Pap Smear"" (POMMAMN2)","https://groups.google.com./g/net.med/c/N6IjAlAFqz8","9/27/86",1,"netmed"
"TH01422","Fun with Household Ammonia","https://groups.google.com./g/net.med/c/qhXb3WZzxM4","9/25/86",2,"netmed"
"TH01421","4 in 10 doctors uses mind-altering drugs","https://groups.google.com./g/net.med/c/UUgma2CP4X8","9/25/86",1,"netmed"
"TH01420","AIDS","https://groups.google.com./g/net.med/c/JVvLCQ24_jc","9/24/86",3,"netmed"
"TH01419","Yeast infection (yech!)","https://groups.google.com./g/net.med/c/_ZlPlcsv_CQ","9/22/86",1,"netmed"
"TH01418","warming lubricants and oils","https://groups.google.com./g/net.med/c/XuSB0r6Xgzw","9/22/86",1,"netmed"
"TH01417","Tomato fruit or vegetable","https://groups.google.com./g/net.med/c/68tR8y0mjsA","9/20/86",1,"netmed"
"TH01416","Foiling Drug Tests","https://groups.google.com./g/net.med/c/k3jLB8d2zmM","9/20/86",2,"netmed"
"TH01415","Drug Abuse - True Problem or Media Hype? (Worse Still)","https://groups.google.com./g/net.med/c/DxXraAh_iF0","9/20/86",2,"netmed"
"TH01414","Why K-Y Jelly? (was: Fear of penetration)","https://groups.google.com./g/net.med/c/2Xr-Gr7fxqs","9/19/86",2,"netmed"
"TH01413","Yeast, Yech, and Yogurt","https://groups.google.com./g/net.med/c/WWPqNf0cYYg","9/17/86",1,"netmed"
"TH01412","Drug Abuse - The Plot Thickens","https://groups.google.com./g/net.med/c/7JUf9J4h8pk","9/14/86",1,"netmed"
"TH01411","AIDS posting","https://groups.google.com./g/net.med/c/x0t_ee4RnlE","9/11/86",1,"netmed"
"TH01410","electrocardiograph","https://groups.google.com./g/net.med/c/4m2rxrGjxuQ","9/3/86",2,"netmed"
"TH01409","Stupid Analogies (was effects of pollution)","https://groups.google.com./g/net.med/c/-P-v9MA69xg","8/26/86",2,"netmed"
"TH01408","mactools for blind users","https://groups.google.com./g/net.med/c/A5QtdYDnOZM","8/7/86",1,"netmed"
"TH01407","Interesting AIDS fact","https://groups.google.com./g/net.med/c/bHCzTh7InXg","7/30/86",1,"netmed"
"TH01406","If sodomy, why not incest?","https://groups.google.com./g/net.med/c/bdzUWqGigc0","7/28/86",12,"netmed"
"TH01405","PSI: Yes I see it / No you don't","https://groups.google.com./g/net.med/c/E1L_IstofMM","5/25/86",5,"netmed"
"TH01404","Cancer -- was 'Plutonium'","https://groups.google.com./g/net.med/c/luX9w093bHI","5/24/86",1,"netmed"
"TH01403","Evolutionary advantage of Excess Brain matter","https://groups.google.com./g/net.med/c/9or8jOUMWJc","5/21/86",3,"netmed"
"TH01402","New mailing list for/about handicapped","https://groups.google.com./g/net.med/c/ZFck2S2VlYY","5/20/86",1,"netmed"
"TH01401","Japanese super pill: a surmise","https://groups.google.com./g/net.med/c/UjelUpn2i3w","5/20/86",4,"netmed"
"TH01400","Flame etymology clarification","https://groups.google.com./g/net.med/c/8DGjSD1v2CU","5/17/86",5,"netmed"
"TH01399","Esoteric Books","https://groups.google.com./g/net.med/c/DUpCgN9eFDc","5/16/86",5,"netmed"
"TH01398","NutraSweet (aspartame)","https://groups.google.com./g/net.med/c/OfqucfPprQ4","5/12/86",2,"netmed"
"TH01397","PSI: Yes I see it / No you don't","https://groups.google.com./g/net.med/c/m-ejLoYUfhk","5/11/86",1,"netmed"
"TH01396","Creation of *.psi (newsgroup or moderated mailing list)","https://groups.google.com./g/net.med/c/JHN5TCwfIrM","5/11/86",3,"netmed"
"TH01395","Request info: scientific programming in Israel","https://groups.google.com./g/net.med/c/l4TYvDo9G0g","5/9/86",1,"netmed"
"TH01394","Drug Disinformation, Ignorance and Prejudice","https://groups.google.com./g/net.med/c/Ko4tD45PGqg","5/8/86",1,"netmed"
"TH01393","Old Geiger counters","https://groups.google.com./g/net.med/c/uAUQAJARNMw","5/7/86",6,"netmed"
"TH01392","psychic ability, and throwing down the gauntlet","https://groups.google.com./g/net.med/c/p_jP8bJUv5I","5/7/86",1,"netmed"
"TH01391","Goodbye! (only temporarily)","https://groups.google.com./g/net.med/c/WEbukl6Whk8","5/5/86",1,"netmed"
"TH01390","NutraSweet Inquiry.","https://groups.google.com./g/net.med/c/1r_m-vJabRc","4/29/86",5,"netmed"
"TH01389","macrobiotic diet","https://groups.google.com./g/net.med/c/LdR8qprtM_U","4/23/86",3,"netmed"
"TH01388","Interactive Medical Telecomputing","https://groups.google.com./g/net.med/c/kG2DaKqgB2g","4/21/86",1,"netmed"
"TH01387","Calcium in a diet","https://groups.google.com./g/net.med/c/9dOjjCCgd04","4/20/86",1,"netmed"
"TH01386","Psychic Damages","https://groups.google.com./g/net.med/c/BOESPOo6_pM","4/15/86",3,"netmed"
"TH01385","Fingernails and Chalkboards","https://groups.google.com./g/net.med/c/8bEdPxLBDcw","4/9/86",3,"netmed"
"TH01384","contraceptives - a new wonder drug","https://groups.google.com./g/net.med/c/MEyw4jDUEXs","4/1/86",1,"netmed"
"TH01383","The male pill","https://groups.google.com./g/net.med/c/oAWxkMGRXcQ","3/29/86",1,"netmed"
"TH01382","An interesting sideline *FACT*","https://groups.google.com./g/net.med/c/EeNkjoLm2v4","3/29/86",2,"netmed"
"TH01381","Need arthroscopic (sp?) info","https://groups.google.com./g/net.med/c/XYBFFbNjsdY","3/23/86",2,"netmed"
"TH01380","Neuropsychology expert system inquiry.","https://groups.google.com./g/net.med/c/HSdt5DwJFtY","3/23/86",1,"netmed"
"TH01379","Answer to Medical Puzzle #12","https://groups.google.com./g/net.med/c/UUfMQQZ9f5o","3/22/86",2,"netmed"
"TH01378","I want to cut out milk. What do I put on my cereal?","https://groups.google.com./g/net.med/c/3pcuUAlz8NI","3/21/86",8,"netmed"
"TH01377","American Medico's experience in India (LONG!)","https://groups.google.com./g/net.med/c/K2cu5QGl1oc","3/21/86",1,"netmed"
"TH01376","Appendicitis - how common is it?","https://groups.google.com./g/net.med/c/3f6qTbmVD9E","3/21/86",2,"netmed"
"TH01375","Alzheimer's disease and alumin(i)um.","https://groups.google.com./g/net.med/c/tJMtDfcc4pM","3/21/86",1,"netmed"
"TH01374","Low Fat/Salt Diets","https://groups.google.com./g/net.med/c/cVWSuLD3EBQ","3/21/86",1,"netmed"
